time,source_sha,source,final_reason,live_reason,live_ok,h1_veto,other_blockers,paper_blocker,setup_id,news_mode,news_event,gates,coverage
2026-09-07T11:02:20.968756+00:00,87080eb641d58100d6435483f8561fa85d5c090e,twelvedata,STRUCTURE,belum eligible (0/3 trigger),False,False,STRUCTURE,,,none,null,"[{""name"": ""Structure Break M15"", ""passed"": false, ""note"": ""belum break range 20 candle""}]","{""h1"": {""bars"": 399, ""last_open"": ""2026-09-07T10:00:00+00:00""}, ""m15"": {""bars"": 399, ""last_open"": ""2026-09-07T10:45:00+00:00""}, ""m5"": {""bars"": 399, ""last_open"": ""2026-09-07T10:55:00+00:00""}}"
2026-09-07T11:06:05.653145+00:00,87080eb641d58100d6435483f8561fa85d5c090e,twelvedata,STRUCTURE,belum eligible (0/3 trigger),False,False,STRUCTURE,,,none,null,"[{""name"": ""Structure Break M15"", ""passed"": false, ""note"": ""belum break range 20 candle""}]","{""h1"": {""bars"": 399, ""last_open"": ""2026-09-07T10:00:00+00:00""}, ""m15"": {""bars"": 399, ""last_open"": ""2026-09-07T10:45:00+00:00""}, ""m5"": {""bars"": 400, ""last_open"": ""2026-09-07T11:00:00+00:00""}}"
2026-09-07T11:11:11.088806+00:00,87080eb641d58100d6435483f8561fa85d5c090e,twelvedata,STRUCTURE,belum eligible (0/3 trigger),False,False,STRUCTURE,,,none,null,"[{""name"": ""Structure Break M15"", ""passed"": false, ""note"": ""belum break range 20 candle""}]","{""h1"": {""bars"": 399, ""last_open"": ""2026-09-07T10:00:00+00:00""}, ""m15"": {""bars"": 399, ""last_open"": ""2026-09-07T10:45:00+00:00""}, ""m5"": {""bars"": 400, ""last_open"": ""2026-09-07T11:05:00+00:00""}}"
2026-09-07T11:16:03.990661+00:00,87080eb641d58100d6435483f8561fa85d5c090e,twelvedata,STRUCTURE,belum eligible (0/3 trigger),False,False,STRUCTURE,,,none,null,"[{""name"": ""Structure Break M15"", ""passed"": false, ""note"": ""belum break range 20 candle""}]","{""h1"": {""bars"": 399, ""last_open"": ""2026-09-07T10:00:00+00:00""}, ""m15"": {""bars"": 400, ""last_open"": ""2026-09-07T11:00:00+00:00""}, ""m5"": {""bars"": 400, ""last_open"": ""2026-09-07T11:10:00+00:00""}}"
2026-09-07T11:21:14.504389+00:00,87080eb641d58100d6435483f8561fa85d5c090e,twelvedata,STRUCTURE,belum eligible (0/3 trigger),False,False,STRUCTURE,,,none,null,"[{""name"": ""Structure Break M15"", ""passed"": false, ""note"": ""belum break range 20 candle""}]","{""h1"": {""bars"": 399, ""last_open"": ""2026-09-07T10:00:00+00:00""}, ""m15"": {""bars"": 399, ""last_open"": ""2026-09-07T11:00:00+00:00""}, ""m5"": {""bars"": 400, ""last_open"": ""2026-09-07T11:15:00+00:00""}}"
2026-09-07T11:26:08.590561+00:00,87080eb641d58100d6435483f8561fa85d5c090e,twelvedata,STRUCTURE,belum eligible (0/3 trigger),False,False,STRUCTURE,,,none,null,"[{""name"": ""Structure Break M15"", ""passed"": false, ""note"": ""belum break range 20 candle""}]","{""h1"": {""bars"": 399, ""last_open"": ""2026-09-07T10:00:00+00:00""}, ""m15"": {""bars"": 399, ""last_open"": ""2026-09-07T11:00:00+00:00""}, ""m5"": {""bars"": 400, ""last_open"": ""2026-09-07T11:20:00+00:00""}}"
2026-09-07T11:31:11.121778+00:00,87080eb641d58100d6435483f8561fa85d5c090e,twelvedata,ELIGIBLE,ok,True,False,,,SELL:20260907T1115:4391.61,none,null,"[{""name"": ""Structure Break M15"", ""passed"": true, ""note"": ""close break bawah range 20 candle""}, {""name"": ""Momentum M15"", ""passed"": true, ""note"": ""RSI 38, MACD hist -1.63""}, {""name"": ""Liquidity Sweep M5"", ""passed"": false, ""note"": ""belum ada sweep terdeteksi 3 bar terakhir""}]","{""h1"": {""bars"": 399, ""last_open"": ""2026-09-07T10:00:00+00:00""}, ""m15"": {""bars"": 400, ""last_open"": ""2026-09-07T11:15:00+00:00""}, ""m5"": {""bars"": 400, ""last_open"": ""2026-09-07T11:25:00+00:00""}}"
2026-09-07T11:36:09.846543+00:00,87080eb641d58100d6435483f8561fa85d5c090e,twelvedata,DEDUP,duplikat setup; level continuation belum maju 0.75 ATR M15,False,False,DEDUP,,SELL:20260907T1115:4391.61,none,null,"[{""name"": ""Structure Break M15"", ""passed"": true, ""note"": ""close break bawah range 20 candle""}, {""name"": ""Momentum M15"", ""passed"": true, ""note"": ""RSI 38, MACD hist -1.63""}, {""name"": ""Liquidity Sweep M5"", ""passed"": false, ""note"": ""belum ada sweep terdeteksi 3 bar terakhir""}]","{""h1"": {""bars"": 399, ""last_open"": ""2026-09-07T10:00:00+00:00""}, ""m15"": {""bars"": 399, ""last_open"": ""2026-09-07T11:15:00+00:00""}, ""m5"": {""bars"": 400, ""last_open"": ""2026-09-07T11:30:00+00:00""}}"
2026-09-07T11:41:09.226545+00:00,87080eb641d58100d6435483f8561fa85d5c090e,twelvedata,DEDUP,duplikat setup; level continuation belum maju 0.75 ATR M15,False,False,DEDUP,,SELL:20260907T1115:4391.61,none,null,"[{""name"": ""Structure Break M15"", ""passed"": true, ""note"": ""close break bawah range 20 candle""}, {""name"": ""Momentum M15"", ""passed"": true, ""note"": ""RSI 38, MACD hist -1.63""}, {""name"": ""Liquidity Sweep M5"", ""passed"": false, ""note"": ""belum ada sweep terdeteksi 3 bar terakhir""}]","{""h1"": {""bars"": 399, ""last_open"": ""2026-09-07T10:00:00+00:00""}, ""m15"": {""bars"": 399, ""last_open"": ""2026-09-07T11:15:00+00:00""}, ""m5"": {""bars"": 400, ""last_open"": ""2026-09-07T11:35:00+00:00""}}"
2026-09-07T11:46:11.798384+00:00,87080eb641d58100d6435483f8561fa85d5c090e,twelvedata,DEDUP,duplikat setup; level continuation belum maju 0.75 ATR M15,False,False,DEDUP,,SELL:20260907T1130:4389.13,none,null,"[{""name"": ""Structure Break M15"", ""passed"": true, ""note"": ""close break bawah range 20 candle""}, {""name"": ""Momentum M15"", ""passed"": true, ""note"": ""RSI 37, MACD hist -1.81""}, {""name"": ""Liquidity Sweep M5"", ""passed"": false, ""note"": ""belum ada sweep terdeteksi 3 bar terakhir""}]","{""h1"": {""bars"": 399, ""last_open"": ""2026-09-07T10:00:00+00:00""}, ""m15"": {""bars"": 400, ""last_open"": ""2026-09-07T11:30:00+00:00""}, ""m5"": {""bars"": 400, ""last_open"": ""2026-09-07T11:40:00+00:00""}}"
2026-09-07T11:51:09.731072+00:00,87080eb641d58100d6435483f8561fa85d5c090e,twelvedata,DEDUP,duplikat setup; level continuation belum maju 0.75 ATR M15,False,False,DEDUP,,SELL:20260907T1130:4389.13,none,null,"[{""name"": ""Structure Break M15"", ""passed"": true, ""note"": ""close break bawah range 20 candle""}, {""name"": ""Momentum M15"", ""passed"": true, ""note"": ""RSI 37, MACD hist -1.81""}, {""name"": ""Liquidity Sweep M5"", ""passed"": false, ""note"": ""belum ada sweep terdeteksi 3 bar terakhir""}]","{""h1"": {""bars"": 399, ""last_open"": ""2026-09-07T10:00:00+00:00""}, ""m15"": {""bars"": 399, ""last_open"": ""2026-09-07T11:30:00+00:00""}, ""m5"": {""bars"": 400, ""last_open"": ""2026-09-07T11:45:00+00:00""}}"
